index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.independent.co.uk/news/pope-francis-ap-argentine-vatican-city-benedict-xvi-b2367759.html,https://www.independent.co.uk/news/pope-francis-ap-argentine-vatican-city-benedict-xvi-b2367759.html,0,www.independent.co.uk,Pope appoints bishop from his Argentine homeland to lead powerful Vatican doctrinal watchdog office,Pope Francis has chosen a bishop from his Argentine homeland for one of the Vatican's most powerful positions — head of the watchdog office that ensures doctrinal orthodoxy,https://static.independent.co.uk/2023/07/01/13/Vatican_Pope_81331.jpg?quality=75&width=1200&auto=webp,2023-07-01T11:56:37Z,https://web.archive.org/web/20230701130336/https://www.independent.co.uk/news/pope-francis-ap-argentine-vatican-city-benedict-xvi-b2367759.html,"For free real time breaking news alerts sent straight to your inbox sign up to our breaking news emails
Sign up to our free breaking news emails
Pope Francis on Saturday chose a bishop who is a tru… [+2389 chars]",,en,'Pope Francis'
https://www.thestar.com/news/world/2023/07/01/pope-appoints-bishop-from-his-argentine-homeland-to-lead-powerful-vatican-doctrinal-watchdog-office.html,https://www.thestar.com/news/world/2023/07/01/pope-appoints-bishop-from-his-argentine-homeland-to-lead-powerful-vatican-doctrinal-watchdog-office.html,0,www.thestar.com,Pope appoints bishop from his Argentine homeland to lead powerful Vatican doctrinal watchdog office,VATICAN CITY (AP) — Pope Francis on Saturday chose a bishop who is a trusted theological advisor from his Argentine homeland for one of the Vatican’s ...,https://images.thestarimages.com/rLeG7KXzH7DqKxGV-9o7Mr3Sv5s=/1280x1024/smart/filters:cb(1688213959704):format(webp)/https://www.thestar.com/content/dam/thestar/news/world/2023/07/01/pope-appoints-bishop-from-his-argentine-homeland-to-lead-powerful-vatican-doctrinal-watchdog-office/20230701070756-64a0149f4b554e4d47e38e6fjpeg.jpg,2023-07-01T11:57:25Z,https://web.archive.org/web/20230701130358/https://www.thestar.com/news/world/2023/07/01/pope-appoints-bishop-from-his-argentine-homeland-to-lead-powerful-vatican-doctrinal-watchdog-office.html,VATICAN CITY (AP) Pope Francis on Saturday chose a bishop who is a trusted theological advisor from his Argentine homeland for one of the Vaticans most powerful positions head of the watchdog office … [+2592 chars],,en,'Pope Francis'
https://freerepublic.com/focus/f-religion/4164881/posts,https://freerepublic.com/focus/f-religion/4164881/posts,0,freerepublic.com,Erotic Poet Appointed as New Head of Doctrine at the Vatican,Erotic Poet Appointed as New Head of Doctrine at the VaticanThe Holy Office is no more.His Holiness has laid the final nail in its coffin.And so it passes like the many other great institutions of Christian Romanitas after the Council.After Pope Francis.When …,,2023-07-02T01:12:36Z,,"Skip to comments.
Erotic Poet Appointed as New Head of Doctrine at the VaticanOne Peter Five ^
 | July 1, 2023
 | T.S. Flanders
Posted on 07/01/2023 6:12:36 PM PDT by ebb tide
The Holy Office is… [+4845 chars]",,en,'Pope Francis'
