day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-04-29,-0.26861722365533003,0.854060513838784,-0.00740964081499193,1.0108835822543598,14.0
2025-04-30,0.035059164451105324,0.8494041572158914,0.07915466451752594,0.8535711360980449,37.0
2025-05-01,-0.004189468182668952,0.8064092298793604,0.11037400477730497,0.7408500213117896,21.0
2025-05-02,-0.017769706120481392,0.9006155655848158,-0.3496636821383239,0.9155631573078237,45.0
2025-05-03,0.16310519718281394,0.9269118191172162,0.2351397331911606,1.0695804472185908,7.0
2025-05-04,0.2706236341372429,0.8515503877698611,0.04542558942249814,0.9462591567737408,27.0
2025-05-05,0.16096483980308712,0.6516603202675583,0.24920855205432954,0.8599610411802152,10.0
2025-05-06,0.13228203250906032,0.7492139493396077,0.12761113396242502,0.867664405871536,10.0
2025-05-07,-0.25981415938354835,0.6237923856077469,-0.24058593280632978,1.0298469473013487,10.0
2025-05-08,-0.4944326499924747,0.4253482623881455,-0.4436313679411925,0.5269508264907096,4.0
2025-05-09,-0.03333333333333335,1.0,0.611111111111111,1.0,1.0
2025-05-10,0.0556017946679402,0.7214373785123875,-0.35984509231962203,1.1505919937798996,4.0
2025-05-12,-0.34504876560203646,0.5120273560055052,-0.7067391898490385,0.000519852654916045,2.0
2025-05-13,0.08092958734704626,0.960758771083867,0.2853689720925885,0.8231245346421976,19.0
2025-05-15,-0.20561914375339077,0.8948676180812346,0.2545229874343325,0.9630461762499544,14.0
2025-05-26,-0.5008383708655872,0.4214891137645679,-0.2634601991981488,0.8182731944164611,4.0
2025-05-27,1.3949970784722834,0.2599297462179315,0.9911511274450412,0.3900121147557478,4.0
2025-05-28,-0.9062960704489661,1.0,-0.3117823073846822,1.0,1.0
2025-05-29,-0.7071067811865476,1.0,0.7071067811865476,1.0,1.0
2025-05-30,0.5006960857943021,0.29190880484257503,1.0224174138892232,0.44591657312856536,2.0
2025-05-31,0.06657098647489154,0.7577324115075773,-0.03798003105787151,0.9365239170905346,4.0
2025-06-02,-0.37761810771939197,0.7718703110487237,0.3613692970530179,0.5442581666600336,4.0
2025-06-03,-0.36655057632649407,0.5988926617058282,-0.43076862754752576,0.39488835094644026,6.0
2025-06-04,0.06496331429772922,0.5630958324331041,-0.12682599976726952,0.7006412607724146,11.0
2025-06-05,-0.16253393249293252,0.8999942911319783,0.21878967696687426,0.9242867796071097,9.0
2025-06-06,0.42296428458098734,0.5607245205084898,0.19194005858470942,0.9500572746876224,9.0
2025-06-07,-0.2924806316492799,0.5849839988432415,-0.3405410661970293,0.8597114118882505,11.0
2025-06-08,0.3056864560915368,0.5297383283506125,0.7138546923367001,0.5899211609026097,7.0
2025-06-09,-0.46563007814446045,0.6630976301156608,-0.30153106612977676,1.0230473131907312,12.0
2025-06-10,-0.4347336425750059,0.8023493633067148,-0.10762531281157872,1.0569317910190594,13.0
2025-06-11,-0.015665120576359604,0.8282123652689543,-0.2192387212603857,0.774712916009166,14.0
2025-06-12,0.20811935087265274,0.6563992448730531,-0.08572067378450454,0.936479350723286,7.0
2025-06-13,-0.2516272118223754,1.1337125152640048,0.20241187409577138,0.5348342221387365,14.0
2025-06-14,0.2646112037524068,0.7710192489726824,-0.00023746645020588836,1.1232197326088134,15.0
2025-06-15,0.45311959841609184,0.9877756705084472,0.28627348697922234,0.8682749348700692,12.0
2025-06-16,-0.0867574437440674,0.8722364946837753,-0.11251539776266238,0.9063225593384684,15.0
2025-06-17,0.45305298090806817,0.6936911942795012,-0.1712465887780689,0.49190172632054957,14.0
2025-06-18,-0.22918711850622453,0.8460631698199411,-0.24942276560402526,0.9286649372231651,15.0
2025-06-19,0.23509399433007433,1.0644927197027743,0.16539981562974831,0.7255915997421005,15.0
2025-06-20,-0.34450609860721,0.5782824181879016,-0.12331982871646571,0.8114492800087127,14.0
2025-06-21,0.337718282584604,0.6001645194113389,-0.09437885275213481,0.9041214454540136,8.0
2025-06-22,-0.1161209797191511,0.8152905298952593,0.16846390541788148,1.0174897581812976,11.0
2025-06-23,0.021437341303129354,1.0502867433744714,0.17667678226695743,0.8577656513360977,14.0
2025-06-24,0.33274684280043376,1.1921874340402954,-0.07479465555847832,0.5679428055168323,10.0
2025-06-25,-0.06279218557529194,0.8220984597011676,0.1978615356413009,0.8572247532099213,41.0
2025-06-26,-0.03529679056182072,1.1030506342394482,0.409009787658322,1.0335892999865097,21.0
2025-06-27,0.19291948864149436,0.8203612098326595,-0.01702810478008185,0.9214504883856992,17.0
2025-06-28,0.4818210395290426,0.6352539565576765,0.24106634699681256,0.4987574422973352,9.0
2025-06-29,0.10556902628420667,0.8898690533616898,0.6395465343482784,0.7102180486590075,9.0
2025-06-30,0.12819055064134727,0.808965617640644,0.1540090607448307,0.8779896753172357,15.0
2025-07-01,0.25595027966130807,0.900636474306628,0.18805387144883157,1.145246155519113,19.0
2025-07-02,-0.09252741146046688,0.7434495280433961,-0.22501264825405085,0.841365920340484,22.0
2025-07-03,-0.0729909149691008,0.5855091153285179,0.080422310827797,0.5409307700060149,13.0
2025-07-04,-0.24690463347011118,0.8883313571208925,0.07731113264025588,0.713593762960966,23.0
2025-07-05,0.26239467439285846,0.8736407310262374,0.2352879570483338,0.5702925885332477,16.0
2025-07-06,-0.10584528202805067,0.9170815792387508,-0.38567898667442996,0.7048036161539036,6.0
2025-07-07,-0.43129199227325865,0.9469303738837123,-0.1817859559103883,0.8988548882257849,17.0
2025-07-08,0.28832369957730125,0.5357261550147914,-0.07315183931138322,1.0920851337448547,12.0
