keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Afida Turner',-0.8322131165971663,0.5160457458050218,0.256004333734881,0.8523105310672204,7.0
'Ainsley Earhardt',-0.2208225522981431,0.9685190586040092,0.31247641359804484,1.1752635335999038,7.0
'Akshata Murty',0.027781198491078258,0.8626563960879574,0.507899682970486,0.8432318897040654,14.0
'Al Pacino',0.1099881129102826,1.2507355580295831,0.21902754088126714,0.7834361971438689,13.0
'Aleksandar Vucic',0.581843836459136,0.7995779841869266,-0.26606613614733976,1.2250161684899588,4.0
'Alvin Bragg',0.03278011181866847,0.3652660219197751,0.32180485973269574,0.759426714355066,2.0
'Alyssa Farah Griffin',0.35666867261245877,0.9456536648600697,0.0025690548520579883,1.0593777171901995,25.0
'Amber Heard',0.879064272054848,1.0,0.15232623375838744,1.0,1.0
'Ana Navarro',-0.3217165200963018,1.5983749544194892,0.4903681293338226,1.0728902390588277,14.0
'Andrzej Duda',0.6100557647358006,1.6454082627020137,-0.6052697112457128,1.2781405272947455,7.0
'Andy Cohen',0.33133607727686193,1.0846777363002953,0.5375064769926838,0.8972633417833538,20.0
'Anthony Albanese',-0.6521928677704584,1.0,0.7875089365490943,1.0,1.0
'Anthony Fauci',-0.25402356377891766,0.4507749525270471,-0.7159401846444055,0.19033075689547496,2.0
'Antonio Guterres',-0.17420975472210432,1.0,-1.4591978958477876,1.0,1.0
'Antony Blinken',0.1035859681101867,0.4636728030315208,0.00321858669464542,1.0170042754230204,4.0
'Axel Springer',-0.37843631369185704,0.5587890174257929,-1.384628944700585,0.22941001729648552,5.0
'Barack Obama',0.2838206749865206,1.3060821637106566,1.2437622845408245,0.794951519602542,5.0
'Barbara Walters',-0.07259840904785193,1.0,-1.0689682228892545,1.0,1.0
'Ben Affleck',0.07087641523523922,0.9026380711389214,0.3734326996031558,0.7927605090587116,21.0
'Benjamin Netanyahu',-1.4114359049491134,1.0,-0.5094807023994523,1.0,1.0
'Berkshire Hathaway',0.4194250213697302,0.739246598082681,0.26732306690402763,0.7304199778189328,15.0
'Bernard Arnault',1.9335289714778994,1.0,0.9065456066528464,1.0,1.0
'Bill Barr',-0.06127528251256516,0.872076195255902,0.14842984011426716,0.8364262034890039,19.0
'Bill Clinton',-0.09657313766209041,0.6942629103659265,-0.15397128406605629,0.6705232813990127,12.0
'Bill Gates',0.7071067811865476,1.0,-0.7071067811865478,1.0,1.0
'Bill Geddie',-0.3266489610070711,0.9596909763366879,-0.18263660458164344,0.410819688063961,8.0
'Billionaire Bunker',-0.22080593199946552,1.3783652717415027,-0.056720784270167544,1.5897663151608297,7.0
'Bob Menendez',0.01524438755084089,0.9784916123272501,0.187976313912397,0.9470018677467072,59.0
'Boris Johnson',0.4694750617713701,1.0,0.30916583413126164,1.0,1.0
'Boris Pistorius',-0.3493357772932118,1.0,-1.4580634578187597,1.0,1.0
'Bradley Cooper',-0.13747637329091475,1.0018302962023253,0.04729473175669881,1.112904999710647,51.0
'Bret Baier',0.04269114720692497,0.7096481631196428,-0.15957929070786314,0.7103408801486174,44.0
'Brian Kilmeade',-0.13242702031183445,1.1331303584582655,0.16411425243536013,1.0478898309514841,28.0
'Bruno Retailleau',-0.2867008163417815,1.0,-1.0499972518093315,1.0,1.0
'Caitlin Clark',0.7986119092659543,1.0,-0.2578741831125182,1.0,1.0
'Camilla',0.03383868250293719,0.37684990355597975,0.578649226967253,0.8783646823616247,4.0
'Camille Etienne',0.8802371697960315,1.0,0.3572578829336351,1.0,1.0
'Carey Mulligan',-0.2769240168931243,2.0664262929619843,0.35507136253888305,0.034504413357270204,2.0
'Caroline Ellison',-0.1687869083826931,0.6396053314351151,-0.41098359604265716,0.7647447326753725,20.0
'Cassidy Hutchinson',-0.18758912555648058,0.7595480733194137,-0.5564250316202694,0.7433149209446038,31.0
'Charles III',0.24333271977653353,1.1507555982735045,0.26594495232426757,0.9896954350360352,7.0
'Chip Somodevilla',-0.11141453124884766,1.068928837849075,-0.00021793997096644898,0.9921236777930913,11.0
'Chris Christie',0.2189685779996904,0.6531701968393128,-0.3815402332343421,0.523707444677017,12.0
'Christopher Nolan',-0.12059197042840963,0.7619646791899465,0.08220512886372773,0.8573304426428286,3.0
'Chuck Schumer',-0.09612273684245036,0.5643105574538511,-0.5673518265439307,0.9344860422927449,13.0
'Cillian Murphy',1.5140680945853258,1.0,0.8802795497017379,1.0,1.0
'David Koch',-0.09672589982674605,0.2537764204808641,0.38684580429922066,0.18785255560855613,2.0
'David Weiss',0.21193197482865542,0.7666642635714792,0.2882679728460935,0.7933769110357116,21.0
'Devon Archer',0.10855855090217296,1.3430319009053848,0.20181140154743427,1.2964916519657,19.0
'Don Lemon',1.581625691766798,0.9122424054083033,0.09358912342298693,0.16936727391138517,2.0
'Donald Trump',-0.05326122981686754,0.9070105555267499,-0.06914958023464775,0.8925656876246639,270.0
'Drena De Niro',2.1122684459218877,1.0,0.3572578829336351,1.0,1.0
'Ed McVey',0.8957594973479057,1.0,0.8884624301895806,1.0,1.0
'Edouard Philippe',-0.7071067811865464,1.0,-0.7071067811865475,1.0,1.0
'Elizabeth Warren',0.12252938089074207,0.6726510288051908,-0.16503796879059854,0.9949769803408762,8.0
'Elon Musk',-0.10632547636244241,0.9889439382707533,0.13008429312582911,0.9133968662775006,34.0
'Emmanuel Macron',0.19666071838302712,0.6634120292637878,-0.2536915491899095,0.8368248520082496,14.0
'Eric Adams',0.13477445571312602,0.7270349091103855,-0.0627342517492921,0.6648879149813423,7.0
