index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.etfdailynews.com/2024/09/01/1140-shares-in-alphabet-inc-nasdaqgoogl-purchased-by-strategic-financial-partners-ltd/,https://www.etfdailynews.com/2024/09/01/1140-shares-in-alphabet-inc-nasdaqgoogl-purchased-by-strategic-financial-partners-ltd/,0,www.etfdailynews.com,"1,140 Shares in Alphabet Inc. (NASDAQ:GOOGL) Purchased by Strategic Financial Partners Ltd.","Strategic Financial Partners Ltd. purchased a new position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) during the second quarter, according to its most recent Form 13F filing with the SEC. The fund purchased 1,140 shares of the information services provider…",https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-09-01T10:10:47Z,,"Strategic Financial Partners Ltd. purchased a new position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) during the second quarter, according to its most recent Form 13F filing with the SEC. The fund… [+6633 chars]",,en,'nan nan'
https://www.etfdailynews.com/2024/09/01/oldfather-financial-services-llc-acquires-300-shares-of-alphabet-inc-nasdaqgoogl/,https://www.etfdailynews.com/2024/09/01/oldfather-financial-services-llc-acquires-300-shares-of-alphabet-inc-nasdaqgoogl/,0,www.etfdailynews.com,Oldfather Financial Services LLC Acquires 300 Shares of Alphabet Inc. (NASDAQ:GOOGL),"Oldfather Financial Services LLC lifted its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 22.5% in the second quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The firm owned 1,635 shares of the …",https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-09-01T10:10:48Z,,"Oldfather Financial Services LLC lifted its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 22.5% in the second quarter, according to its most recent Form 13F filing with the Securities and Ex… [+6783 chars]",,en,'Sundar Pichai'
https://www.etfdailynews.com/2024/09/01/339047-shares-in-alphabet-inc-nasdaqgoog-acquired-by-hantz-financial-services-inc/,https://www.etfdailynews.com/2024/09/01/339047-shares-in-alphabet-inc-nasdaqgoog-acquired-by-hantz-financial-services-inc/,0,www.etfdailynews.com,"339,047 Shares in Alphabet Inc. (NASDAQ:GOOG) Acquired by Hantz Financial Services Inc.","Hantz Financial Services Inc. acquired a new stake in shares of Alphabet Inc. (NASDAQ:GOOG – Free Report) in the 2nd quarter, according to its most recent 13F filing with the SEC. The fund acquired 339,047 shares of the information services provider’s stock, …",https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-09-01T14:24:48Z,,"Hantz Financial Services Inc. acquired a new stake in shares of Alphabet Inc. (NASDAQ:GOOG – Free Report) in the 2nd quarter, according to its most recent 13F filing with the SEC. The fund acquired 3… [+5827 chars]",,en,'Sundar Pichai'
https://www.etfdailynews.com/2024/09/01/davies-financial-advisors-inc-has-2-30-million-position-in-alphabet-inc-nasdaqgoog/,https://www.etfdailynews.com/2024/09/01/davies-financial-advisors-inc-has-2-30-million-position-in-alphabet-inc-nasdaqgoog/,0,www.etfdailynews.com,Davies Financial Advisors Inc. Has $2.30 Million Position in Alphabet Inc. (NASDAQ:GOOG),"Davies Financial Advisors Inc. cut its position in shares of Alphabet Inc. (NASDAQ:GOOG – Free Report) by 6.2% during the second quarter, Holdings Channel reports. The institutional investor owned 12,530 shares of the information services provider’s stock aft…",https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-09-01T15:38:52Z,,"Davies Financial Advisors Inc. cut its position in shares of Alphabet Inc. (NASDAQ:GOOG – Free Report) by 6.2% during the second quarter, Holdings Channel reports. The institutional investor owned 12… [+6394 chars]",,en,'nan nan'
