domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
biztoc.com,0.08621702652354071,0.18585780043293984,0.3345099532358027,0.1903991796253301,191.0
www.forbes.com,0.11097228458598142,0.15660627357581913,0.3601130606981671,0.19939941829618124,94.0
www.businessinsider.com,0.05895786357614207,0.2016888875138692,0.3889315014395272,0.21278088968522677,89.0
www.justjared.com,0.1407170797640277,0.2017458102045229,0.4548525338313719,0.18181850671865102,79.0
pagesix.com,0.09884211722741577,0.21203131377076714,0.47408057660159875,0.1743807199993575,63.0
www.usmagazine.com,0.1565702908650851,0.2195346174789638,0.45420454903808427,0.24736635839769278,59.0
www.newsweek.com,0.04548740665138217,0.15572102586731373,0.34405429596901066,0.17890657461888523,56.0
nypost.com,0.051428807177287435,0.17310532661284353,0.3734966484320589,0.1891512781923619,47.0
dailycaller.com,-0.014910838457034104,0.23442730585098437,0.4164788150657716,0.2840408144009753,46.0
www.thedailybeast.com,0.05825877223602075,0.22360301543970054,0.3691029474298869,0.18727341981551365,46.0
deadline.com,0.15270719378972972,0.20714982593303308,0.39422929596583206,0.2393596344415239,43.0
www.eonline.com,0.10282870929673257,0.1987749643038257,0.3993749061170157,0.17058782624032742,43.0
boingboing.net,0.0882526445048992,0.2144650992384816,0.4642066480964389,0.19248393746480522,42.0
www.marca.com,0.11543660032379542,0.26410540201685834,0.4570978689332348,0.2185772914232877,41.0
www.foxnews.com,0.0596436819353486,0.24286027009059077,0.44045917816751146,0.24532550765408254,39.0
www.tmz.com,0.13123357615455594,0.2366471649032266,0.47581079528654,0.20789768262664593,39.0
www.cosmopolitan.com,0.12851658218324885,0.22936426951419164,0.48304482862816184,0.1904770819559946,39.0
www.huffpost.com,-0.0364278044486378,0.21974969757710086,0.3934806705640039,0.2027950640179795,39.0
hollywoodlife.com,0.15184687238258665,0.20401765369790295,0.4600862272290844,0.19045371988915172,37.0
www.politico.com,0.05008581656664043,0.1575376571955655,0.41147493434070137,0.23079070875099666,32.0
crooksandliars.com,0.011285720633227964,0.2304847467881579,0.4667941529525108,0.22329943238532848,31.0
www.rollingstone.com,0.14465810314024602,0.1458475366771167,0.4183724360956504,0.218148635388086,28.0
rlsbb.ru,0.11733641358641357,0.2039830575410307,0.5050083250083249,0.14927826881226203,26.0
newrepublic.com,0.057805180687610744,0.12615925609540446,0.4096388928069747,0.18146899123304144,26.0
slashdot.org,0.05220596139971137,0.11618916191800832,0.3121836363636364,0.10938433969938582,25.0
abcnews.go.com,0.06121086860670193,0.1272565628468273,0.25272514329806,0.22557911772662723,24.0
radaronline.com,0.0162224580974581,0.14242377394202424,0.42301039527602025,0.18888514154731298,24.0
economictimes.indiatimes.com,0.19925031409814015,0.13097554535061579,0.41346284351719137,0.1420511539520402,23.0
freerepublic.com,-0.017356656390747304,0.16507640738145873,0.3789636626000262,0.2944446758084596,22.0
www.breitbart.com,0.016263282172373085,0.13493628256668985,0.2504483143119507,0.2301169911093122,22.0
www.comingsoon.net,0.14701873162912127,0.21368553135254006,0.4775766837779825,0.2133145011583476,22.0
www.latimes.com,0.1266635063742502,0.22503337214100425,0.5135063295290568,0.26348464168332386,22.0
consequence.net,0.15751637041409766,0.23988842773460317,0.48358771699680786,0.2465918557309048,22.0
www.npr.org,0.06118225909892577,0.21754741768837738,0.4105884239217573,0.2369924104635551,21.0
www.avclub.com,0.12191221491952009,0.15815341887640713,0.486844234559332,0.191709693235384,21.0
time.com,0.08484247234247232,0.19822210726181164,0.3889369889369889,0.19320062658567716,21.0
pitchfork.com,0.07789099917810492,0.1595107637678299,0.3644223978454035,0.1958580084079911,21.0
www.the-independent.com,0.10096679114536256,0.13603942951509512,0.43367067456353176,0.17954718202315958,21.0
www.thewrap.com,0.14186337054758105,0.1926117642482368,0.3502235069998228,0.15271559376420282,19.0
www.stereogum.com,0.10631657727351505,0.1740870462543638,0.3763878182777704,0.19195840273843476,19.0
decider.com,0.048347269463340885,0.27929533250362004,0.431980732622267,0.21681130844461155,18.0
www.bbc.co.uk,0.031296897546897545,0.1464445667138687,0.4407437094155844,0.13100477741977587,16.0
www.aljazeera.com,0.11667668751002085,0.2352485248277325,0.42477737694404355,0.2262496196913403,15.0
screenrant.com,0.13462851458306005,0.2087407596018124,0.5099188421006604,0.21441061220897317,15.0
www.vanityfair.com,0.053290764790764784,0.1682382211428295,0.37363896905563565,0.21668389638766422,15.0
www.cnn.com,0.0868457391374058,0.143955976193367,0.33805523488856815,0.19503885581535718,15.0
www.thegatewaypundit.com,0.00324691358024692,0.24354132979713036,0.45046296296296295,0.2697751906461086,15.0
uproxx.com,0.12517453446024876,0.17254505193156286,0.49409563320277605,0.13200471713195022,14.0
www.cbc.ca,0.09360569985569986,0.1423383338813342,0.3490638528138529,0.23036169543442678,14.0
www.cbsnews.com,0.18879251700680275,0.2092874722126388,0.4142648423005566,0.17707260056961846,14.0
insidethemagic.net,0.17187126635990274,0.25279333317598757,0.46379848896894366,0.18381180233350247,14.0
www.euractiv.com,0.04357475857475857,0.1276480462568055,0.24049644799644793,0.22125429121373125,13.0
variety.com,0.05859709104027287,0.14772462596546632,0.39312356835084106,0.2369870579605503,13.0
ohnotheydidnt.livejournal.com,0.04392385392385392,0.28057040297702635,0.3689133089133089,0.24350170990150155,13.0
www.queerty.com,0.0333648830476482,0.17660949260745645,0.5267109223548618,0.18753261750974803,12.0
www.bostonherald.com,0.0717886043880362,0.14156754177877134,0.47370384262903203,0.12521318637604587,12.0
www.foxsports.com,0.14901072802858517,0.2488044392192875,0.44728664192949913,0.1369314433412414,12.0
www.thehollywoodgossip.com,0.16222208167013366,0.22181662108961556,0.5511647551582617,0.18845734615783308,11.0
extratv.com,0.11664168743714197,0.17423934238122063,0.34429604486422666,0.2557273203008174,11.0
www.celebitchy.com,0.0636296862859363,0.231958461598381,0.47597194472194465,0.17064299766383,11.0
news.yahoo.com,-0.028217237308146403,0.24285806561868492,0.280314836678473,0.20399238734638847,11.0
people.com,0.284126492194674,0.19365746105489462,0.45540346648301194,0.18924491871980645,11.0
www.today.com,0.10138311688311688,0.24598182400299243,0.372007215007215,0.22009828166066622,10.0
www.ibtimes.com,0.05936670274170276,0.18012611459935382,0.33546572871572866,0.1507155410220094,10.0
japantoday.com,0.12667893217893217,0.18275432952713497,0.3315580808080808,0.2251257908870805,10.0
www.pajiba.com,0.03203246128570805,0.2016283222171975,0.36515092170936325,0.20485147203320955,9.0
www.theatlantic.com,0.04303210678210678,0.24045989512292845,0.4067736892736893,0.2385577934115514,9.0
www.mediaite.com,0.04527671525026024,0.2313668122067286,0.45233450656731083,0.2043344888200173,9.0
www.espn.com,0.14280403238736572,0.19365606270067579,0.3579637646304313,0.19335673763523573,9.0
politicalwire.com,0.03919507120264696,0.03386390437542965,0.42149252262888626,0.06715823599615313,9.0
www.vulture.com,0.09694307015735587,0.20096840767899274,0.4456330309901738,0.11081227424099058,9.0
www.thecut.com,0.08347903639570307,0.14148602864331203,0.4357708032708033,0.23009678939789258,9.0
www.bostonglobe.com,0.15485529902196568,0.09782970923789439,0.3738592271925605,0.18913942540925652,9.0
sputnikglobe.com,0.11552128427128429,0.12069488447088023,0.4055109126984127,0.08624784445438893,8.0
www.msnbc.com,-0.0022098214285714264,0.1723218866016142,0.44828869047619047,0.28648938187597917,8.0
jezebel.com,-0.02923083860583862,0.20458189578012848,0.4457934426684427,0.12813959170349432,8.0
www.marketscreener.com,0.14627525252525253,0.18193517510207607,0.2463383838383838,0.19470256101332584,8.0
www.nbcnews.com,-0.005544217687074827,0.2637129756528806,0.25520408163265307,0.16508503664162685,7.0
www.elitedaily.com,0.08831770081770082,0.06189052180768519,0.45074975949975954,0.0857978432040078,7.0
zacjohnson.com,0.21281710353138925,0.12480105155480846,0.2682400139542997,0.26144698848717374,7.0
www.thefader.com,0.056737786023500304,0.13170736575242972,0.19549783549783548,0.24327379100763874,7.0
nymag.com,0.03068997801140657,0.1384549799728202,0.342694547515976,0.18063259329408735,7.0
gothamist.com,0.14027047687761973,0.08963426305046251,0.401281093245379,0.10438628751079039,7.0
www.westernjournal.com,0.09179615027829313,0.19974854953830187,0.4049412492269635,0.3048757426981813,7.0
www.theblaze.com,0.17212226430976432,0.23166140636667593,0.3994160353535354,0.3067197368708403,6.0
www.indiewire.com,0.08532590645685885,0.1346035388435359,0.4002273299892347,0.1157391104125701,6.0
www.rt.com,0.10075577200577202,0.0850649255413086,0.3418049543049542,0.13319502781575746,6.0
thegrio.com,0.1941813973063973,0.12155604365412548,0.35336700336700333,0.12037406695366946,6.0
www.theonion.com,0.1579220779220779,0.12848604085163348,0.3831926406926407,0.2132326341922183,6.0
www.dw.com,0.2096696127946128,0.18271624455400137,0.3972117003367004,0.18621580262280682,6.0
www.memeorandum.com,0.03480098605098605,0.07844165866375365,0.2590002705627706,0.131754096304359,6.0
www.abc.net.au,0.09375511063011062,0.14867798657376116,0.48877254689754684,0.14893423229463287,6.0
www.wonkette.com,-0.0070135882635882635,0.10521689347652431,0.5350078213967103,0.086812968449707,6.0
www.highsnobiety.com,0.1518001443001443,0.11295799200752285,0.5200613275613276,0.2236587786507998,6.0
www.dailydot.com,0.06320797258297257,0.14216137872005308,0.3402170514670515,0.14842125902294753,6.0
drunkenstepfather.com,-0.05467875874125875,0.13359626792793106,0.49912830225330235,0.0968704351626009,6.0
www.etonline.com,0.21832070707070705,0.18799295417327216,0.4698653198653198,0.1629195631888717,6.0
brobible.com,0.17073773448773447,0.09252249266928528,0.5315494227994227,0.09366819792580618,6.0
www.newyorker.com,0.05200126262626261,0.19380498185577721,0.4366477272727273,0.12053443069994475,6.0
www.france24.com,0.059375000000000004,0.09168744503562357,0.18287037037037038,0.16441691461251667,6.0
www.globalsecurity.org,0.023336940836940833,0.1625776318242174,0.34534271284271284,0.10453002531647335,6.0
www.startribune.com,0.008680582534749196,0.10406993475852704,0.3082085815419149,0.2488658298745217,6.0
footwearnews.com,0.04154040404040403,0.12820420073067548,0.29633838383838385,0.21078534837720805,5.0
www.brooklynvegan.com,0.11290909090909092,0.07468255438997252,0.3100512820512821,0.18898716898946746,5.0
hiphopdx.com,0.14428571428571427,0.26992902401286,0.5286904761904762,0.3165000232847211,5.0
www.popsugar.com,0.15620779220779218,0.2201979139452111,0.4666428571428572,0.21490735081784154,5.0
www.naturalnews.com,0.03333333333333333,0.0950146187582615,0.21166666666666661,0.23189370702549192,5.0
www.investing.com,0.027000000000000003,0.14193308282426617,0.19766666666666666,0.15714289321788907,5.0
thehill.com,0.1059025974025974,0.1289197416907317,0.37755627705627703,0.2173072379157417,5.0
www.vox.com,0.005454545454545452,0.0721695788926264,0.36162626262626263,0.18474651655731766,5.0
www.teenvogue.com,0.09290902219473648,0.06232264425130153,0.3651921425135711,0.08166270128083937,5.0
www.nzherald.co.nz,-0.09984848484848485,0.28631573272568217,0.4410606060606061,0.2887379523760817,5.0
www.gq.com,0.14706168831168828,0.14184485371454042,0.4330519480519481,0.25779495202467817,5.0
www.catholicnewsagency.com,-0.01599747474747474,0.054979464479670156,0.2187121212121212,0.13881133739375157,4.0
press.un.org,-0.04403108465608467,0.16497360980128611,0.32136243386243385,0.23632347096471262,4.0
wealthofgeeks.com,0.3071807359307359,0.010784469578090443,0.5059199134199135,0.13393701242949574,4.0
www.bangkokpost.com,-0.06849180911680913,0.1419752154667279,0.10619658119658121,0.1135799987769128,4.0
www.ndtv.com,0.08106060606060606,0.14034452993597832,0.3111742424242424,0.25658557073951627,4.0
finance.yahoo.com,0.18462301587301586,0.21572351630623943,0.3103174603174603,0.0628739756201218,4.0
